ntdll_8                                             0000000180085280 8   
NtSetDefaultUILanguage                              00000001800A9030 549 
NtSetDriverEntryOrder                               00000001800A9050 550 
NtSetEaFile                                         00000001800A9070 551 
NtSetEvent                                          00000001800A6280 552 
NtSetEventBoostPriority                             00000001800A6660 553 
NtSetHighEventPair                                  00000001800A9090 554 
NtSetHighWaitLowEventPair                           00000001800A90B0 555 
NtSetIRTimer                                        00000001800A90D0 556 
NtSetInformationDebugObject                         00000001800A90F0 557 
NtSetInformationEnlistment                          00000001800A9110 558 
NtSetInformationFile                                00000001800A65A0 559 
NtSetInformationJobObject                           00000001800A9130 560 
NtSetInformationKey                                 00000001800A9150 561 
NtSetInformationObject                              00000001800A6C30 562 
NtSetInformationProcess                             00000001800A6440 563 
NtSetInformationResourceManager                     00000001800A9170 564 
NtSetInformationSymbolicLink                        00000001800A9190 565 
NtSetInformationThread                              00000001800A6260 566 
NtSetInformationToken                               00000001800A91B0 567 
NtSetInformationTransaction                         00000001800A91D0 568 
NtSetInformationTransactionManager                  00000001800A91F0 569 
NtSetInformationVirtualMemory                       00000001800A9210 570 
NtSetInformationWorkerFactory                       00000001800A9230 571 
NtSetIntervalProfile                                00000001800A9250 572 
NtSetIoCompletion                                   00000001800A9270 573 
NtSetIoCompletionEx                                 00000001800A9290 574 
NtSetLdtEntries                                     00000001800A92B0 575 
NtSetLowEventPair                                   00000001800A92D0 576 
NtSetLowWaitHighEventPair                           00000001800A92F0 577 
NtSetQuotaInformationFile                           00000001800A9310 578 
NtSetSecurityObject                                 00000001800A9330 579 
NtSetSystemEnvironmentValue                         00000001800A9350 580 
NtSetSystemEnvironmentValueEx                       00000001800A9370 581 
NtSetSystemInformation                              00000001800A9390 582 
NtSetSystemPowerState                               00000001800A93B0 583 
NtSetSystemTime                                     00000001800A93D0 584 
NtSetThreadExecutionState                           00000001800A93F0 585 
NtSetTimer                                          00000001800A6CF0 586 
NtSetTimer2                                         00000001800A9410 587 
NtSetTimerEx                                        00000001800A9430 588 
NtSetTimerResolution                                00000001800A9450 589 
NtSetUuidSeed                                       00000001800A9470 590 
NtSetValueKey                                       00000001800A6CB0 591 
NtSetVolumeInformationFile                          00000001800A9490 592 
NtSetWnfProcessNotificationEvent                    00000001800A94B0 593 
NtShutdownSystem                                    00000001800A94D0 594 
NtShutdownWorkerFactory                             00000001800A94F0 595 
NtSignalAndWaitForSingleObject                      00000001800A9510 596 
NtSinglePhaseReject                                 00000001800A9530 597 
NtStartProfile                                      00000001800A9550 598 
NtStopProfile                                       00000001800A9570 599 
NtSubscribeWnfStateChange                           00000001800A9590 600 
NtSuspendProcess                                    00000001800A95B0 601 
NtSuspendThread                                     00000001800A95D0 602 
NtSystemDebugControl                                00000001800A95F0 603 
NtTerminateJobObject                                00000001800A9610 604 
NtTerminateProcess                                  00000001800A6640 605 
NtTerminateThread                                   00000001800A6B20 606 
NtTestAlert                                         00000001800A9630 607 
NtThawRegistry                                      00000001800A9650 608 
NtThawTransactions                                  00000001800A9670 609 
NtTraceControl                                      00000001800A9690 610 
NtTraceEvent                                        00000001800A6C70 611 
NtTranslateFilePath                                 00000001800A96B0 612 
NtUmsThreadYield                                    00000001800A96D0 613 
NtUnloadDriver                                      00000001800A96F0 614 
NtUnloadKey                                         00000001800A9710 615 
NtUnloadKey2                                        00000001800A9730 616 
NtUnloadKeyEx                                       00000001800A9750 617 
NtUnlockFile                                        00000001800A9770 618 
NtUnlockVirtualMemory                               00000001800A9790 619 
NtUnmapViewOfSection                                00000001800A6600 620 
NtUnmapViewOfSectionEx                              00000001800A97B0 621 
NtUnsubscribeWnfStateChange                         00000001800A97D0 622 
NtUpdateWnfStateData                                00000001800A97F0 623 
NtVdmControl                                        00000001800A9810 624 
NtWaitForAlertByThreadId                            00000001800A9830 625 
NtWaitForDebugEvent                                 00000001800A9850 626 
NtWaitForKeyedEvent                                 00000001800A9870 627 
NtWaitForMultipleObjects                            00000001800A6C10 628 
NtWaitForMultipleObjects32                          00000001800A6400 629 
NtWaitForSingleObject                               00000001800A6140 630 
NtWaitForWorkViaWorkerFactory                       00000001800A9890 631 
NtWaitHighEventPair                                 00000001800A98B0 632 
NtWaitLowEventPair                                  00000001800A98D0 633 
NtWorkerFactoryWorkerReady                          00000001800A60E0 634 
NtWriteFile                                         00000001800A61C0 635 
NtWriteFileGather                                   00000001800A6420 636 
NtWriteRequestData                                  00000001800A6BA0 637 
NtWriteVirtualMemory                                00000001800A6800 638 
NtYieldExecution                                    00000001800A6980 639 
NtdllDefWindowProc_A                                00000001800A5DB0 640 
NtdllDefWindowProc_W                                00000001800A5DC0 641 
NtdllDialogWndProc_A                                00000001800A5E70 642 
NtdllDialogWndProc_W                                00000001800A5E80 643 
PfxFindPrefix                                       00000001800E0550 644 
PfxInitialize                                       00000001800E0630 645 
PfxInsertPrefix                                     00000001800E0650 646 
PfxRemovePrefix                                     00000001800E0770 647 
PssNtCaptureSnapshot                                000000018005F4B0 648 
PssNtDuplicateSnapshot                              0000000180004F10 649 
PssNtFreeRemoteSnapshot                             00000001800FFB50 650 
PssNtFreeSnapshot                                   0000000180004F90 651 
PssNtFreeWalkMarker                                 00000001800890E0 652 
PssNtQuerySnapshot                                  0000000180005100 653 
PssNtValidateDescriptor                             00000001800055D0 654 
PssNtWalkSnapshot                                   0000000180005340 655 
RtlAbortRXact                                       0000000180082E60 656 
RtlAbsoluteToSelfRelativeSD                         0000000180072D60 657 
RtlAcquirePebLock                                   00000001800803D0 658 
RtlAcquirePrivilege                                 000000018007EC20 659 
RtlAcquireReleaseSRWLockExclusive                   000000018006E8F0 660 
RtlAcquireResourceExclusive                         000000018006FD20 661 
RtlAcquireResourceShared                            000000018006FC30 662 
RtlAcquireSRWLockExclusive                          0000000180035780 663 
RtlAcquireSRWLockShared                             0000000180045F90 664 
RtlActivateActivationContext                        000000018001CC70 665 
RtlActivateActivationContextEx                      000000018001CCC0 666 
RtlActivateActivationContextUnsafeFast              0000000180027DC0 667 
RtlAddAccessAllowedAce                              0000000180025F30 668 
RtlAddAccessAllowedAceEx                            00000001800814E0 669 
RtlAddAccessAllowedObjectAce                        000000018008F570 670 
RtlAddAccessDeniedAce                               0000000180089360 671 
RtlAddAccessDeniedAceEx                             0000000180088930 672 
RtlAddAccessDeniedObjectAce                         000000018008F4C0 673 
RtlAddAce                                           0000000180073E90 674 
RtlAddActionToRXact                                 0000000180085CD0 675 
RtlAddAtomToAtomTable                               000000018006F1A0 676 
RtlAddAttributeActionToRXact                        0000000180085D50 677 
RtlAddAuditAccessAce                                000000018008D030 678 
RtlAddAuditAccessAceEx                              000000018008CAB0 679 
RtlAddAuditAccessObjectAce                          000000018008F510 680 
RtlAddCompoundAce                                   00000001800E2570 681 
RtlAddFunctionTable                                 0000000180071DA0 682 
RtlAddGrowableFunctionTable                         0000000180071FB0 683 
RtlAddIntegrityLabelToBoundaryDescriptor            00000001800E3EC0 684 
RtlAddMandatoryAce                                  000000018005A1C0 685 
RtlAddProcessTrustLabelAce                          000000018008D2D0 686 
RtlAddRefActivationContext                          000000018002E390 687 
RtlAddRefMemoryStream                               0000000180085BC0 688 
RtlAddResourceAttributeAce                          00000001800E26E0 689 
RtlAddSIDToBoundaryDescriptor                       000000018005D7F0 690 
RtlAddScopedPolicyIDAce                             00000001800E2A30 691 
RtlAddVectoredContinueHandler                       00000001800907D0 692 
RtlAddVectoredExceptionHandler                      0000000180076300 693 
RtlAddressInSectionTable                            0000000180079F10 694 
RtlAdjustPrivilege                                  000000018007C570 695 
RtlAllocateActivationContextStack                   000000018007B900 696 
RtlAllocateAndInitializeSid                         000000018005AF80 697 
RtlAllocateAndInitializeSidEx                       00000001800E0820 698 
RtlAllocateHandle                                   000000018006F840 699 
RtlAllocateHeap                                     0000000180037930 700 
RtlAllocateMemoryBlockLookaside                     0000000180107010 701 
RtlAllocateMemoryZone                               0000000180107120 702 
RtlAllocateWnfSerializationGroup                    0000000180086520 703 
RtlAnsiCharToUnicodeChar                            0000000180029E20 704 
RtlAnsiStringToUnicodeSize                          0000000180087A40 705 
RtlAnsiStringToUnicodeString                        0000000180029D30 706 
RtlAppendAsciizToString                             00000001800E44D0 707 
RtlAppendPathElement                                00000001800D0ED0 708 
RtlAppendStringToString                             00000001800E4540 709 
RtlAppendUnicodeStringToString                      000000018000D750 710 
RtlAppendUnicodeToString                            0000000180023420 711 
RtlApplicationVerifierStop                          00000001800D9220 712 
RtlApplyRXact                                       000000018008DE10 713 
RtlApplyRXactNoFlush                                0000000180082E30 714 
RtlAppxIsFileOwnedByTrustedInstaller                00000001800D09E0 715 
RtlAreAllAccessesGranted                            0000000180081B90 716 
RtlAreAnyAccessesGranted                            00000001800E08F0 717 
RtlAreBitsClear                                     000000018008FDA0 718 
RtlAreBitsSet                                       0000000180073040 719 
RtlAreLongPathsEnabled                              0000000180082730 720 
RtlAssert                                           00000001800E5BF0 721 
RtlAvlInsertNodeEx                                  0000000180072340 722 
RtlAvlRemoveNode                                    0000000180071770 723 
RtlBarrier                                          00000001800E5D20 724 
RtlBarrierForDelete                                 00000001800E5D30 725 
RtlCancelTimer                                      00000001800FF680 726 
RtlCanonicalizeDomainName                           000000018000A920 727 
RtlCapabilityCheck                                  0000000180056440 728 
RtlCaptureContext                                   00000001800A9DD0 729 
RtlCaptureStackBackTrace                            0000000180047190 730 
RtlCharToInteger                                    0000000180005FD0 731 
RtlCheckBootStatusIntegrity                         000000018008CB40 732 
RtlCheckForOrphanedCriticalSections                 0000000180082030 733 
RtlCheckPortableOperatingSystem                     0000000180063390 734 
RtlCheckRegistryKey                                 0000000180065A90 735 
RtlCheckSandboxedToken                              00000001800D5950 736 
RtlCheckTokenCapability                             00000001800566C0 737 
RtlCheckTokenMembership                             0000000180055760 738 
RtlCheckTokenMembershipEx                           00000001800569B0 739 
RtlCleanUpTEBLangLists                              0000000180005C20 740 
RtlClearAllBits                                     000000018007A600 741 
RtlClearBit                                         00000001800E4610 742 
RtlClearBits                                        000000018001C720 743 
RtlClearThreadWorkOnBehalfTicket                    0000000180079660 744 
RtlCloneMemoryStream                                00000001800D4280 745 
RtlCloneUserProcess                                 00000001800D50D0 746 
RtlCmDecodeMemIoResource                            00000001800E9AE0 747 
RtlCmEncodeMemIoResource                            00000001800E9B50 748 
RtlCommitDebugInfo                                  00000001800D6260 749 
RtlCommitMemoryStream                               00000001800D4280 750 
RtlCompactHeap                                      0000000180090580 751 
RtlCompareAltitudes                                 00000001800EBF30 752 
RtlCompareMemory                                    00000001800AA330 753 
RtlCompareMemoryUlong                               00000001800AA3B0 754 
RtlCompareString                                    000000018008C2D0 755 
RtlCompareUnicodeString                             0000000180030680 756 
RtlCompareUnicodeStrings                            00000001800306C0 757 
RtlCompleteProcessCloning                           00000001800D53A0 758 
RtlCompressBuffer                                   0000000180068BC0 759 
RtlComputeCrc32                                     000000018006B690 760 
RtlComputeImportTableHash                           00000001800DCA20 761 
RtlComputePrivatizedDllName_U                       0000000180003460 762 
RtlConnectToSm                                      000000018008D070 763 
RtlConsoleMultiByteToUnicodeN                       00000001800DEF50 764 
RtlContractHashTable                                0000000180085B80 765 
RtlConvertDeviceFamilyInfoToString                  000000018007BC90 766 
RtlConvertExclusiveToShared                         0000000180086730 767 
RtlConvertLCIDToString                              00000001800E6710 768 
RtlConvertSRWLockExclusiveToShared                  00000001800E24A0 769 
RtlConvertSharedToExclusive                         000000018006FBD0 770 
RtlConvertSidToUnicodeString                        0000000180025F60 771 
RtlConvertToAutoInheritSecurityObject               00000001800D5CB0 772 
RtlCopyBitMap                                       00000001800E4620 773 
RtlCopyContext                                      000000018008B570 774 
RtlCopyExtendedContext                              00000001800EC3C0 775 
RtlCopyLuid                                         000000018007B470 776 
RtlCopyLuidAndAttributesArray                       00000001800E0900 777 
RtlCopyMappedMemory                                 0000000180086CB0 778 
RtlCopyMemory                                       00000001800AC640 779 
RtlCopyMemoryNonTemporal                            00000001800AA3E0 780 
RtlCopyMemoryStreamTo                               00000001800D4280 781 
RtlCopyOutOfProcessMemoryStreamTo                   00000001800D4280 782 
RtlCopySecurityDescriptor                           0000000180072AF0 783 
RtlCopySid                                          000000018005A330 784 
RtlCopySidAndAttributesArray                        00000001800E0930 785 
RtlCopyString                                       0000000180087780 786 
RtlCopyUnicodeString                                0000000180026860 787 
RtlCrc32                                            0000000180084750 788 
RtlCrc64                                            00000001800ECB50 789 
RtlCreateAcl                                        0000000180058680 790 
RtlCreateActivationContext                          00000001800192C0 791 
RtlCreateAndSetSD                                   000000018008C380 792 
RtlCreateAtomTable                                  000000018006ECB0 793 
RtlCreateBootStatusDataFile                         00000001800E6070 794 
RtlCreateBoundaryDescriptor                         00000001800820D0 795 
RtlCreateEnvironment                                00000001800671C0 796 
RtlCreateEnvironmentEx                              0000000180067800 797 
RtlCreateHashTable                                  000000018007FCD0 798 
RtlCreateHashTableEx                                00000001800EC2D0 799 
RtlCreateHeap                                       00000001800103E0 800 
RtlCreateMemoryBlockLookaside                       0000000180082B20 801 
RtlCreateMemoryZone                                 0000000180082CF0 802 
RtlCreateProcessParameters                          00000001800D54B0 803 
RtlCreateProcessParametersEx                        00000001800671E0 804 
RtlCreateProcessReflection                          00000001800D4330 805 
RtlCreateQueryDebugBuffer                           0000000180019580 806 
RtlCreateRegistryKey                                00000001800E62E0 807 
RtlCreateSecurityDescriptor                         0000000180059450 808 
RtlCreateServiceSid                                 000000018005AE60 809 
RtlCreateSystemVolumeInformationFolder              000000018008BCD0 810 
RtlCreateTagHeap                                    0000000180004790 811 
RtlCreateTimer                                      0000000180051C40 812 
RtlCreateTimerQueue                                 00000001800544B0 813 
RtlCreateUmsCompletionList                          00000001800ED310 814 
RtlCreateUmsThreadContext                           00000001800ED430 815 
RtlCreateUnicodeString                              000000018002DC50 816 
RtlCreateUnicodeStringFromAsciiz                    0000000180075280 817 
RtlCreateUserProcess                                000000018008C660 818 
RtlCreateUserSecurityObject                         00000001800D5CC0 819 
RtlCreateUserStack                                  0000000180081D10 820 
RtlCreateUserThread                                 0000000180064340 821 
RtlCreateVirtualAccountSid                          000000018005DF90 822 
RtlCultureNameToLCID                                0000000180025860 823 
RtlCustomCPToUnicodeN                               00000001800DF500 824 
RtlCutoverTimeToSystemTime                          000000018006A6C0 825 
RtlDeCommitDebugInfo                                00000001800D6270 826 
RtlDeNormalizeProcessParams                         00000001800D5520 827 
RtlDeactivateActivationContext                      00000001800788A0 828 
RtlDeactivateActivationContextUnsafeFast            000000018002A1A0 829 
RtlDebugPrintTimes                                  0000000180084E90 830 
RtlDecodePointer                                    0000000180067160 831 
RtlDecodeRemotePointer                              00000001800D99B0 832 
RtlDecodeSystemPointer                              0000000180086DC0 833 
RtlDecompressBuffer                                 000000018008DEC0 834 
RtlDecompressBufferEx                               0000000180089F90 835 
RtlDecompressFragment                               00000001800EC130 836 
RtlDefaultNpAcl                                     000000018008ADD0 837 
RtlDelete                                           000000018006B280 838 
RtlDeleteAce                                        000000018007C490 839 
RtlDeleteAtomFromAtomTable                          000000018006F0A0 840 
RtlDeleteBarrier                                    00000001800E5D40 841 
RtlDeleteBoundaryDescriptor                         000000018000D170 842 
RtlDeleteCriticalSection                            0000000180016320 843 
RtlDeleteElementGenericTable                        000000018006AD30 844 
RtlDeleteElementGenericTableAvl                     00000001800753E0 845 
RtlDeleteElementGenericTableAvlEx                   0000000180075420 846 
RtlDeleteFunctionTable                              0000000180071450 847 
RtlDeleteGrowableFunctionTable                      00000001800715F0 848 
RtlDeleteHashTable                                  00000001800878C0 849 
RtlDeleteNoSplay                                    000000018006B320 850 
RtlDeleteRegistryValue                              000000018008DCF0 851 
RtlDeleteResource                                   00000001800162D0 852 
RtlDeleteSecurityObject                             0000000180080B40 853 
RtlDeleteTimer                                      0000000180051F90 854 
RtlDeleteTimerQueue                                 00000001800FF690 855 
RtlDeleteTimerQueueEx                               00000001800547E0 856 
RtlDeleteUmsCompletionList                          00000001800ED540 857 
RtlDeleteUmsThreadContext                           00000001800ED5A0 858 
RtlDequeueUmsCompletionListItems                    00000001800ED600 859 
RtlDeregisterSecureMemoryCacheCallback              00000001800EDF60 860 
RtlDeregisterWait                                   0000000180054750 861 
RtlDeregisterWaitEx                                 0000000180052160 862 
RtlDeriveCapabilitySidsFromName                     000000018005AB50 863 
RtlDestroyAtomTable                                 00000001800E3C60 864 
RtlDestroyEnvironment                               00000001800677E0 865 
RtlDestroyHandleTable                               00000001800890B0 866 
RtlDestroyHeap                                      0000000180014B40 867 
RtlDestroyMemoryBlockLookaside                      00000001800028C0 868 
RtlDestroyMemoryZone                                0000000180002920 869 
RtlDestroyProcessParameters                         0000000180084460 870 
RtlDestroyQueryDebugBuffer                          00000001800710A0 871 
RtlDetectHeapLeaks                                  0000000180007A20 872 
RtlDetermineDosPathNameType_U                       0000000180017CD0 873 
RtlDisableThreadProfiling                           00000001800D0BD0 874 
RtlDllShutdownInProgress                            0000000180012A90 875 
RtlDnsHostNameToComputerName                        000000018007CDE0 876 
RtlDoesFileExists_U                                 0000000180089E80 877 
RtlDosApplyFileIsolationRedirection_Ustr            000000018002ADF0 878 
RtlDosPathNameToNtPathName_U                        000000018007BAD0 879 
RtlDosPathNameToNtPathName_U_WithStatus             000000018002E4D0 880 
RtlDosPathNameToRelativeNtPathName_U                000000018001D6B0 881 
RtlDosPathNameToRelativeNtPathName_U_WithStatus     000000018002E570 882 
RtlDosSearchPath_U                                  0000000180017D50 883 
RtlDosSearchPath_Ustr                               000000018002D400 884 
RtlDowncaseUnicodeChar                              00000001800E40B0 885 
RtlDowncaseUnicodeString                            000000018007A6D0 886 
RtlDumpResource                                     00000001800D4C60 887 
RtlDuplicateUnicodeString                           000000018007A1F0 888 
RtlEmptyAtomTable                                   00000001800E3D40 889 
RtlEnableEarlyCriticalSectionEventCreation          00000001800D4CB0 890 
RtlEnableThreadProfiling                            00000001800D0C40 891 
RtlEncodePointer                                    0000000180076430 892 
RtlEncodeRemotePointer                              00000001800D9A20 893 
RtlEncodeSystemPointer                              0000000180088070 894 
RtlEndEnumerationHashTable                          0000000180085480 895 
RtlEndStrongEnumerationHashTable                    0000000180084E90 896 
RtlEndWeakEnumerationHashTable                      00000001800EC2E0 897 
RtlEnterCriticalSection                             0000000180030BD0 898 
RtlEnterUmsSchedulingMode                           00000001800ED690 899 
RtlEnumProcessHeaps                                 00000001800E9F50 900 
RtlEnumerateEntryHashTable                          0000000180077210 901 
RtlEnumerateGenericTable                            000000018006ACB0 902 
RtlEnumerateGenericTableAvl                         0000000180075360 903 
RtlEnumerateGenericTableLikeADirectory              00000001800EDD10 904 
RtlEnumerateGenericTableWithoutSplaying             000000018006BA30 905 
RtlEnumerateGenericTableWithoutSplayingAvl          0000000180075380 906 
RtlEqualComputerName                                00000001800909C0 907 
RtlEqualDomainName                                  000000018000A8A0 908 
RtlEqualLuid                                        00000001800E09F0 909 
RtlEqualPrefixSid                                   0000000180059220 910 
RtlEqualSid                                         0000000180056360 911 
RtlEqualString                                      0000000180073D60 912 
RtlEqualUnicodeString                               000000018002D2B0 913 
RtlEqualWnfChangeStamps                             0000000180089DF0 914 
RtlEraseUnicodeString                               000000018008F750 915 
RtlEthernetAddressToStringA                         00000001800EED50 916 
RtlEthernetAddressToStringW                         00000001800EEFB0 917 
RtlEthernetStringToAddressA                         00000001800EF020 918 
RtlEthernetStringToAddressW                         00000001800EF170 919 
RtlExecuteUmsThread                                 00000001800ED770 920 
RtlExitUserProcess                                  0000000180007CE0 921 
RtlExitUserThread                                   0000000180066C30 922 
RtlExpandEnvironmentStrings                         0000000180060C70 923 
RtlExpandEnvironmentStrings_U                       0000000180060BF0 924 
RtlExpandHashTable                                  000000018008B060 925 
RtlExtendMemoryBlockLookaside                       00000001800E3EF0 926 
RtlExtendMemoryZone                                 00000001800E3F60 927 
RtlExtractBitMap                                    00000001800E4820 928 
RtlFillMemory                                       00000001800EF2B0 929 
RtlFinalReleaseOutOfProcessMemoryStream             0000000180084E90 930 
RtlFindAceByType                                    0000000180059330 931 
RtlFindActivationContextSectionGuid                 000000018002A900 932 
RtlFindActivationContextSectionString               000000018002C6C0 933 
RtlFindCharInUnicodeString                          000000018002D030 934 
RtlFindClearBits                                    00000001800E49C0 935 
RtlFindClearBitsAndSet                              000000018001BF60 936 
RtlFindClearRuns                                    00000001800E4D10 937 
RtlFindClosestEncodableLength                       00000001800E9C40 938 
RtlFindExportedRoutineByName                        000000018007B700 939 
RtlFindLastBackwardRunClear                         0000000180081160 940 
RtlFindLeastSignificantBit                          0000000180088820 941 
RtlFindLongestRunClear                              00000001800E4FF0 942 
RtlFindMessage                                      000000018001DEA0 943 
RtlFindMostSignificantBit                           0000000180088890 944 
RtlFindNextForwardRunClear                          00000001800E5030 945 
RtlFindSetBits                                      000000018008D890 946 
RtlFindSetBitsAndClear                              00000001800E5180 947 
RtlFindUnicodeSubstring                             0000000180070EA0 948 
RtlFirstEntrySList                                  00000001800A99A0 949 
RtlFirstFreeAce                                     00000001800263A0 950 
RtlFlsAlloc                                         000000018001BD80 951 
RtlFlsFree                                          000000018001C5F0 952 
RtlFlushHeaps                                       00000001800179B0 953 
RtlFlushSecureMemoryCache                           00000001800EE020 954 
RtlFormatCurrentUserKeyPath                         00000001800268E0 955 
RtlFormatMessage                                    00000001800EF2D0 956 
RtlFormatMessageEx                                  0000000180062A20 957 
RtlFreeActivationContextStack                       00000001800787C0 958 
RtlFreeAnsiString                                   000000018000D140 959 
RtlFreeHandle                                       000000018006F060 960 
RtlFreeHeap                                         000000018003C770 961 
RtlFreeMemoryBlockLookaside                         00000001801070F0 962 
RtlFreeOemString                                    000000018008C2B0 963 
RtlFreeSid                                          000000018007B980 964 
RtlFreeThreadActivationContextStack                 0000000180078780 965 
RtlFreeUnicodeString                                000000018000D140 966 
RtlFreeUserStack                                    00000001800868F0 967 
RtlGUIDFromString                                   0000000180074EC0 968 
RtlGenerate8dot3Name                                00000001800EF590 969 
RtlGetAce                                           0000000180078AD0 970 
RtlGetActiveActivationContext                       000000018000FB30 971 
RtlGetActiveConsoleId                               00000001800857C0 972 
RtlGetAppContainerNamedObjectPath                   000000018000CC00 973 
RtlGetAppContainerParent                            0000000180003740 974 
RtlGetAppContainerSidType                           000000018005A540 975 
RtlGetCallersAddress                                00000001800E5E80 976 
RtlGetCompressionWorkSpaceSize                      0000000180083690 977 
RtlGetConsoleSessionForegroundProcessId             00000001800EFD10 978 
RtlGetControlSecurityDescriptor                     0000000180080980 979 
RtlGetCriticalSectionRecursionCount                 0000000180075300 980 
RtlGetCurrentDirectory_U                            000000018007AB10 981 
RtlGetCurrentPeb                                    0000000180090940 982 
RtlGetCurrentProcessorNumber                        00000001800A5CB0 983 
RtlGetCurrentProcessorNumberEx                      00000001800A5CE0 984 
RtlGetCurrentServiceSessionId                       000000018000FE20 985 
RtlGetCurrentTransaction                            0000000180078210 986 
RtlGetCurrentUmsThread                              000000018006A010 987 
RtlGetDaclSecurityDescriptor                        0000000180079F40 988 
RtlGetDeviceFamilyInfoEnum                          000000018007BD70 989 
RtlGetElementGenericTable                           000000018007F840 990 
RtlGetElementGenericTableAvl                        00000001800EDE40 991 
RtlGetEnabledExtendedFeatures                       00000001800868D0 992 
RtlGetExePath                                       0000000180086360 993 
RtlGetExtendedContextLength                         00000001800775C0 994 
RtlGetExtendedFeaturesMask                          0000000180088630 995 
RtlGetFileMUIPath                                   0000000180019AA0 996 
RtlGetFrame                                         00000001800D1A40 997 
RtlGetFullPathName_U                                000000018001C850 998 
RtlGetFullPathName_UEx                              000000018002E440 999 
RtlGetFullPathName_UstrEx                           000000018002A660 1000
RtlGetFunctionTableListHead                         0000000180089F30 1001
RtlGetGroupSecurityDescriptor                       0000000180080D10 1002
RtlGetIntegerAtom                                   000000018006F630 1003
RtlGetInterruptTimePrecise                          00000001800E01C0 1004
RtlGetLastNtStatus                                  0000000180088910 1005
RtlGetLastWin32Error                                0000000180088AA0 1006
RtlGetLengthWithoutLastFullDosOrNtPathElement       000000018006D770 1007
RtlGetLengthWithoutTrailingPathSeperators           000000018008CAE0 1008
RtlGetLocaleFileMappingAddress                      0000000180080AA0 1009
RtlGetLongestNtPathLength                           00000001800879E0 1010
RtlGetNativeSystemInformation                       00000001800A6780 1011
RtlGetNextEntryHashTable                            0000000180082D90 1012
RtlGetNextUmsListItem                               00000001800ED910 1013
RtlGetNtGlobalFlags                                 00000001800E6320 1014
RtlGetNtProductType                                 000000018000FDE0 1015
RtlGetNtVersionNumbers                              0000000180083C80 1016
RtlGetOwnerSecurityDescriptor                       00000001800803F0 1017
RtlGetParentLocaleName                              0000000180021C90 1018
RtlGetProcessHeaps                                  00000001800909F0 1019
RtlGetProcessPreferredUILanguages                   00000001800E6810 1020
RtlGetProductInfo                                   0000000180083A90 1021
RtlGetSaclSecurityDescriptor                        000000018007EFA0 1022
RtlGetSearchPath                                    0000000180086B70 1023
RtlGetSecurityDescriptorRMControl                   0000000180086760 1024
RtlGetSetBootStatusData                             0000000180087440 1025
RtlGetSuiteMask                                     000000018000FDA0 1026
RtlGetSystemPreferredUILanguages                    000000018007C210 1027
RtlGetSystemTimePrecise                             0000000180062170 1028
RtlGetThreadErrorMode                               0000000180007490 1029
RtlGetThreadLangIdByIndex                           00000001800E6910 1030
RtlGetThreadPreferredUILanguages                    0000000180023AB0 1031
RtlGetThreadWorkOnBehalfTicket                      0000000180050FC0 1032
RtlGetUILanguageInfo                                00000001800E69E0 1033
RtlGetUmsCompletionListEvent                        00000001800ED940 1034
RtlGetUnloadEventTrace                              00000001800D21D0 1035
RtlGetUnloadEventTraceEx                            00000001800899D0 1036
RtlGetUserInfoHeap                                  00000001800735F0 1037
RtlGetUserPreferredUILanguages                      000000018007B490 1038
RtlGetVersion                                       000000018000FA10 1039
RtlGrowFunctionTable                                00000001800DCE50 1040
RtlGuardCheckLongJumpTarget                         000000018004E490 1041
RtlHashUnicodeString                                000000018002CF30 1042
RtlHeapTrkInitialize                                000000018008EF60 1043
RtlIdentifierAuthoritySid                           0000000180080330 1044
RtlIdnToAscii                                       000000018000B170 1045
RtlIdnToNameprepUnicode                             00000001800F13C0 1046
RtlIdnToUnicode                                     000000018000B910 1047
RtlImageDirectoryEntryToData                        00000001800466E0 1048
RtlImageNtHeader                                    0000000180046800 1049
RtlImageNtHeaderEx                                  0000000180049490 1050
RtlImageRvaToSection                                0000000180046260 1051
RtlImageRvaToVa                                     0000000180081F80 1052
RtlImpersonateSelf                                  000000018007EE70 1053
RtlImpersonateSelfEx                                000000018007EE80 1054
RtlInitAnsiString                                   0000000180009E30 1055
RtlInitAnsiStringEx                                 00000001800752C0 1056
RtlInitBarrier                                      00000001800E5D70 1057
RtlInitCodePageTable                                00000001800870D0 1058
RtlInitEnumerationHashTable                         0000000180077020 1059
RtlInitMemoryStream                                 0000000180084E90 1060
RtlInitNlsTables                                    0000000180087060 1061
RtlInitOutOfProcessMemoryStream                     0000000180084E90 1062
RtlInitString                                       0000000180009E30 1063
RtlInitStringEx                                     00000001800E45A0 1064
RtlInitStrongEnumerationHashTable                   00000001800EC2F0 1065
RtlInitUnicodeString                                0000000180025480 1066
RtlInitUnicodeStringEx                              000000018002E5E0 1067
RtlInitWeakEnumerationHashTable                     00000001800EC330 1068
RtlInitializeAtomPackage                            0000000180085BC0 1069
RtlInitializeBitMap                                 000000018007B480 1070
RtlInitializeConditionVariable                      0000000180073260 1071
RtlInitializeContext                                00000001800F1400 1072
RtlInitializeCriticalSection                        000000018006BB70 1073
RtlInitializeCriticalSectionAndSpinCount            000000018006BAB0 1074
RtlInitializeCriticalSectionEx                      0000000180012140 1075
RtlInitializeExtendedContext                        00000001800774A0 1076
RtlInitializeGenericTable                           000000018007F360 1077
