ntdll_8                                             0000000180085280 8   
LdrGetFileNameFromLoadAsDataTable                   00000001800DD2A0 129 
LdrGetKnownDllSectionHandle                         00000001800842A0 130 
LdrGetProcedureAddress                              0000000180006EA0 131 
LdrGetProcedureAddressEx                            00000001800073B0 132 
LdrGetProcedureAddressForCaller                     0000000180046940 133 
LdrInitShimEngineDynamic                            00000001800D3180 134 
LdrInitializeThunk                                  0000000180079FA0 135 
LdrLoadAlternateResourceModule                      0000000180086540 136 
LdrLoadAlternateResourceModuleEx                    00000001800222C0 137 
LdrLoadDll                                          0000000180009E70 138 
LdrLockLoaderLock                                   0000000180016610 139 
LdrOpenImageFileOptionsKey                          0000000180090AC0 140 
LdrProcessInitializationComplete                    00000001800872B0 141 
LdrProcessRelocationBlock                           00000001800DDD20 142 
LdrProcessRelocationBlockEx                         00000001800DDD50 143 
LdrQueryImageFileExecutionOptions                   000000018007FF20 144 
LdrQueryImageFileExecutionOptionsEx                 000000018007FF60 145 
LdrQueryImageFileKeyOption                          0000000180080210 146 
LdrQueryModuleServiceTags                           00000001800D1C10 147 
LdrQueryOptionalDelayLoadedAPI                      00000001800D21E0 148 
LdrQueryProcessModuleInformation                    0000000180070030 149 
LdrRegisterDllNotification                          0000000180087BA0 150 
LdrRemoveDllDirectory                               00000001800DB350 151 
LdrRemoveLoadAsDataTable                            0000000180079920 152 
LdrResFindResource                                  00000001800DE210 153 
LdrResFindResourceDirectory                         000000018004E400 154 
LdrResGetRCConfig                                   000000018001EF60 155 
LdrResRelease                                       0000000180089390 156 
LdrResSearchResource                                000000018004DEF0 157 
LdrResolveDelayLoadedAPI                            00000001800465C0 158 
LdrResolveDelayLoadsFromDll                         00000001800D22C0 159 
LdrRscIsTypeExist                                   0000000180020E20 160 
LdrSetAppCompatDllRedirectionCallback               0000000180085BC0 161 
LdrSetDefaultDllDirectories                         0000000180075230 162 
LdrSetDllDirectory                                  0000000180001540 163 
LdrSetDllManifestProber                             0000000180085ED0 164 
LdrSetImplicitPathOptions                           00000001800D2050 165 
LdrSetMUICacheType                                  000000018008DDA0 166 
LdrShutdownProcess                                  0000000180007F20 167 
LdrShutdownThread                                   00000001800278A0 168 
LdrStandardizeSystemPath                            0000000180084E90 169 
LdrSystemDllInitBlock                               00000001801632A0 170 
LdrUnloadAlternateResourceModule                    00000001800139F0 171 
LdrUnloadAlternateResourceModuleEx                  0000000180013A00 172 
LdrUnloadDll                                        000000018004ED90 173 
LdrUnlockLoaderLock                                 0000000180013330 174 
LdrUnregisterDllNotification                        00000001800D20C0 175 
LdrVerifyImageMatchesChecksum                       00000001800D2170 176 
LdrVerifyImageMatchesChecksumEx                     000000018008B9E0 177 
LdrpResGetMappingSize                               000000018004E200 178 
LdrpResGetResourceDirectory                         000000018004C2A0 179 
MD4Final                                            00000001800FDC30 180 
MD4Init                                             00000001800FDD00 181 
MD4Update                                           00000001800FDD30 182 
MD5Final                                            000000018006C170 183 
MD5Init                                             0000000180083870 184 
MD5Update                                           000000018006C240 185 
NlsAnsiCodePage                                     0000000180151080 186 
NlsMbCodePageTag                                    00000001801510B1 187 
NlsMbOemCodePageTag                                 00000001801510B0 188 
NtAcceptConnectPort                                 00000001800A6100 189 
NtAccessCheck                                       00000001800A60C0 190 
NtAccessCheckAndAuditAlarm                          00000001800A65E0 191 
NtAccessCheckByType                                 00000001800A6D10 192 
NtAccessCheckByTypeAndAuditAlarm                    00000001800A6BE0 193 
NtAccessCheckByTypeResultList                       00000001800A6D30 194 
NtAccessCheckByTypeResultListAndAuditAlarm          00000001800A6D50 195 
NtAccessCheckByTypeResultListAndAuditAlarmByHandle  00000001800A6D70 196 
NtAddAtom                                           00000001800A69A0 197 
NtAddAtomEx                                         00000001800A6D90 198 
NtAddBootEntry                                      00000001800A6DB0 199 
NtAddDriverEntry                                    00000001800A6DD0 200 
NtAdjustGroupsToken                                 00000001800A6DF0 201 
NtAdjustPrivilegesToken                             00000001800A68E0 202 
NtAdjustTokenClaimsAndDeviceGroups                  00000001800A6E10 203 
NtAlertResumeThread                                 00000001800A6E30 204 
NtAlertThread                                       00000001800A6E50 205 
NtAlertThreadByThreadId                             00000001800A6E70 206 
NtAllocateLocallyUniqueId                           00000001800A6E90 207 
NtAllocateReserveObject                             00000001800A6EB0 208 
NtAllocateUserPhysicalPages                         00000001800A6ED0 209 
NtAllocateUuids                                     00000001800A6EF0 210 
NtAllocateVirtualMemory                             00000001800A63C0 211 
NtAlpcAcceptConnectPort                             00000001800A6F10 212 
NtAlpcCancelMessage                                 00000001800A6F30 213 
NtAlpcConnectPort                                   00000001800A6F50 214 
NtAlpcConnectPortEx                                 00000001800A6F70 215 
NtAlpcCreatePort                                    00000001800A6F90 216 
NtAlpcCreatePortSection                             00000001800A6FB0 217 
NtAlpcCreateResourceReserve                         00000001800A6FD0 218 
NtAlpcCreateSectionView                             00000001800A6FF0 219 
NtAlpcCreateSecurityContext                         00000001800A7010 220 
NtAlpcDeletePortSection                             00000001800A7030 221 
NtAlpcDeleteResourceReserve                         00000001800A7050 222 
NtAlpcDeleteSectionView                             00000001800A7070 223 
NtAlpcDeleteSecurityContext                         00000001800A7090 224 
NtAlpcDisconnectPort                                00000001800A70B0 225 
NtAlpcImpersonateClientContainerOfPort              00000001800A70D0 226 
NtAlpcImpersonateClientOfPort                       00000001800A70F0 227 
NtAlpcOpenSenderProcess                             00000001800A7110 228 
NtAlpcOpenSenderThread                              00000001800A7130 229 
NtAlpcQueryInformation                              00000001800A7150 230 
NtAlpcQueryInformationMessage                       00000001800A7170 231 
NtAlpcRevokeSecurityContext                         00000001800A7190 232 
NtAlpcSendWaitReceivePort                           00000001800A71B0 233 
NtAlpcSetInformation                                00000001800A71D0 234 
NtApphelpCacheControl                               00000001800A6A40 235 
NtAreMappedFilesTheSame                             00000001800A71F0 236 
NtAssignProcessToJobObject                          00000001800A7210 237 
NtAssociateWaitCompletionPacket                     00000001800A7230 238 
NtCallbackReturn                                    00000001800A6160 239 
NtCancelIoFile                                      00000001800A6C50 240 
NtCancelIoFileEx                                    00000001800A7250 241 
NtCancelSynchronousIoFile                           00000001800A7270 242 
NtCancelTimer                                       00000001800A6CD0 243 
NtCancelTimer2                                      00000001800A7290 244 
NtCancelWaitCompletionPacket                        00000001800A72B0 245 
NtClearEvent                                        00000001800A6880 246 
NtClose                                             00000001800A62A0 247 
NtCloseObjectAuditAlarm                             00000001800A6820 248 
NtCommitComplete                                    00000001800A72D0 249 
NtCommitEnlistment                                  00000001800A72F0 250 
NtCommitRegistryTransaction                         00000001800A7310 251 
NtCommitTransaction                                 00000001800A7330 252 
NtCompactKeys                                       00000001800A7350 253 
NtCompareObjects                                    00000001800A7370 254 
NtCompareTokens                                     00000001800A7390 255 
NtCompleteConnectPort                               00000001800A73B0 256 
NtCompressKey                                       00000001800A73D0 257 
NtConnectPort                                       00000001800A73F0 258 
NtContinue                                          00000001800A6920 259 
NtCreateDebugObject                                 00000001800A7410 260 
NtCreateDirectoryObject                             00000001800A7430 261 
NtCreateDirectoryObjectEx                           00000001800A7450 262 
NtCreateEnclave                                     00000001800A7470 263 
NtCreateEnlistment                                  00000001800A7490 264 
NtCreateEvent                                       00000001800A69C0 265 
NtCreateEventPair                                   00000001800A74B0 266 
NtCreateFile                                        00000001800A6B60 267 
NtCreateIRTimer                                     00000001800A74D0 268 
NtCreateIoCompletion                                00000001800A74F0 269 
NtCreateJobObject                                   00000001800A7510 270 
NtCreateJobSet                                      00000001800A7530 271 
NtCreateKey                                         00000001800A6460 272 
NtCreateKeyTransacted                               00000001800A7550 273 
NtCreateKeyedEvent                                  00000001800A7570 274 
NtCreateLowBoxToken                                 00000001800A7590 275 
NtCreateMailslotFile                                00000001800A75B0 276 
NtCreateMutant                                      00000001800A75D0 277 
NtCreateNamedPipeFile                               00000001800A75F0 278 
NtCreatePagingFile                                  00000001800A7610 279 
NtCreatePartition                                   00000001800A7630 280 
NtCreatePort                                        00000001800A7650 281 
NtCreatePrivateNamespace                            00000001800A7670 282 
NtCreateProcess                                     00000001800A7690 283 
NtCreateProcessEx                                   00000001800A6A60 284 
NtCreateProfile                                     00000001800A76B0 285 
NtCreateProfileEx                                   00000001800A76D0 286 
NtCreateRegistryTransaction                         00000001800A76F0 287 
NtCreateResourceManager                             00000001800A7710 288 
NtCreateSection                                     00000001800A6A00 289 
NtCreateSemaphore                                   00000001800A7730 290 
NtCreateSymbolicLinkObject                          00000001800A7750 291 
NtCreateThread                                      00000001800A6A80 292 
NtCreateThreadEx                                    00000001800A7770 293 
NtCreateTimer                                       00000001800A7790 294 
NtCreateTimer2                                      00000001800A77B0 295 
NtCreateToken                                       00000001800A77D0 296 
NtCreateTokenEx                                     00000001800A77F0 297 
